"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__ProductRule__c","SBQQ__Active__c","SBQQ__AscendingNestedLevel__c","SBQQ__DescendingNestedLevel__c","SBQQ__ProductFeature__c","SBQQ__Product__c","SBQQ__RuleEvaluationEvent__c","SBQQ__RuleType__c","SBQQ__DescendingActionNesting__c"
"a031N00000fp7a0QAA","false","CR-000003","USD","a0c1N00000MVcZUQA1","true",,,,"01t1N00000EURKvQAP","Always","Validation",
"a031N00000fp7a1QAA","false","CR-000004","USD","a0c1N00000MVcZVQA1","true",,,,"01t1N00000EURKvQAP","Always","Alert",
"a031N00000fp7a2QAA","false","CR-000005","USD","a0c1N00000MVcZWQA1","true",,,,"01t1N00000EURKvQAP","Always","Alert",
"a031N00000fp7a3QAA","false","CR-000006","USD","a0c1N00000MVcZXQA1","true",,,,"01t1N00000EURKvQAP","Always","Alert",
"a031N00000fp7a4QAA","false","CR-000007","USD","a0c1N00000MVcZYQA1","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7a5QAA","false","CR-000008","USD","a0c1N00000MVcZZQA1","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7a6QAA","false","CR-000009","USD","a0c1N00000MVcZaQAL","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7a7QAA","false","CR-000010","USD","a0c1N00000MVcZbQAL","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7a8QAA","false","CR-000011","USD","a0c1N00000MVcZcQAL","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7a9QAA","false","CR-000012","USD","a0c1N00000MVcZdQAL","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7aAQAQ","false","CR-000013","USD","a0c1N00000MVcZeQAL","true",,,,"01t1N00000EURKyQAP","Always","Selection",
"a031N00000fp7aBQAQ","false","CR-000014","USD","a0c1N00000MVcZfQAL","true",,,,"01t1N00000EURKvQAP","Always","Alert",
"a031N00000fp7aCQAQ","false","CR-000027","USD","a0c1N00000MVcZgQAL","true",,,,"01t1N00000EURKvQAP","Always","Validation",
"a031N00000fp7aDQAQ","false","CR-000028","USD","a0c1N00000MVcZhQAL","true",,,,"01t1N00000EURKyQAP","Always","Selection",
"a031N00000fp7aEQAQ","false","CR-000029","USD","a0c1N00000MVcZiQAL","true",,,,"01t1N00000EURKyQAP","Always","Selection",
"a031N00000fp7aFQAQ","false","CR-000031","USD","a0c1N00000MVcZjQAL","true",,,"a0a1N0000085v3YQAQ","01t1N00000EURKyQAP","Edit","Selection",
"a031N00000fp7aGQAQ","false","CR-000032","USD","a0c1N00000MVcZkQAL","true",,,,"01t1N00000EURKyQAP","Always","Selection",
"a031N00000fp7aHQAQ","false","CR-000033","USD","a0c1N00000MVcZlQAL","true",,,"a0a1N0000085v3YQAQ","01t1N00000EURKyQAP","Edit","Selection",
"a031N00000fp7aIQAQ","false","CR-000034","USD","a0c1N00000MVcZmQAL","true",,,"a0a1N0000085v3YQAQ","01t1N00000EURKyQAP","Edit","Selection",
"a031N00000fp7aJQAQ","false","CR-000017","USD","a0c1N00000MVcZnQAL","true",,,,"01t1N00000EURLpQAP","Always","Selection",
"a031N00000fp7aKQAQ","false","CR-000018","USD","a0c1N00000MVcZnQAL","true",,,,"01t1N00000EURKoQAP","Always","Selection",
"a031N00000fp7aLQAQ","false","CR-000019","USD","a0c1N00000MVcZoQAL","true",,,,"01t1N00000EURLpQAP","Always","Selection",
"a031N00000fp7aMQAQ","false","CR-000020","USD","a0c1N00000MVcZoQAL","true",,,,"01t1N00000EURKoQAP","Always","Selection",
"a031N00000fp7aNQAQ","false","CR-000021","USD","a0c1N00000MVcZpQAL","true",,,,"01t1N00000EURLpQAP","Always","Alert",
"a031N00000fp7aOQAQ","false","CR-000023","USD","a0c1N00000MVcZpQAL","true",,,,"01t1N00000EURKoQAP","Always","Alert",
"a031N00000fp7aPQAQ","false","CR-000024","USD","a0c1N00000MVcZqQAL","true",,,,"01t1N00000EURKvQAP","Always","Alert",
"a031N00000fp7aQQAQ","false","CR-000025","USD","a0c1N00000MVcZrQAL","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7aRQAQ","false","CR-000044","USD","a0c1N00000MVcZsQAL","true",,,,"01t1N00000EURKoQAP","Always","Selection",
"a031N00000fp7aSQAQ","false","CR-000045","USD","a0c1N00000MVcZtQAL","true",,,,"01t1N00000EURKoQAP","Always","Selection",
"a031N00000fp7aTQAQ","false","CR-000046","USD","a0c1N00000MVcZuQAL","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7aUQAQ","false","CR-000047","USD","a0c1N00000MVcZvQAL","true",,,,"01t1N00000EURKvQAP","Always","Selection",
"a031N00000fp7ZyQAI","false","CR-000001","USD","a0c1N00000MVcZSQA1","true",,,,"01t1N00000EURKvQAP","Always","Validation",
"a031N00000fp7ZzQAI","false","CR-000002","USD","a0c1N00000MVcZTQA1","true",,,,"01t1N00000EURKvQAP","Always","Validation",
