"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Active__c","SBQQ__Product__c","SBQQ__UnitCost__c"
"a051N000041nhkaQAA","false","COST-000082","AUD","true","01t1N00000EURKxQAP","391.3"
"a051N000041nhkbQAA","false","COST-000083","AUD","true","01t1N00000EURL2QAP","319.2"
"a051N000041nhkcQAA","false","COST-000084","AUD","true","01t1N00000EURM0QAP","0.0"
"a051N000041nhkdQAA","false","COST-000085","AUD","true","01t1N00000EURM1QAP","0.0"
"a051N000041nhkeQAA","false","COST-000086","AUD","true","01t1N00000EURM2QAP","512.4"
"a051N000041nhkfQAA","false","COST-000087","AUD","true","01t1N00000EURLRQA5","474.6"
"a051N000041nhkgQAA","false","COST-000088","AUD","true","01t1N00000EURL5QAP","228.2"
"a051N000041nhkhQAA","false","COST-000089","AUD","true","01t1N00000EURL6QAP","324.8"
"a051N000041nhkiQAA","false","COST-000090","AUD","true","01t1N00000EURL7QAP","168.8"
"a051N000041nhkjQAA","false","COST-000091","AUD","true","01t1N00000EURLcQAP","281.6"
"a051N000041nhkkQAA","false","COST-000092","AUD","true","01t1N00000EURLEQA5","178.8"
"a051N000041nhklQAA","false","COST-000093","AUD","true","01t1N00000EURLgQAP","253.6"
"a051N000041nhkmQAA","false","COST-000094","AUD","true","01t1N00000EURM3QAP","1281.0"
"a051N000041nhknQAA","false","COST-000095","AUD","true","01t1N00000EURM4QAP","818.4"
"a051N000041nhkoQAA","false","COST-000096","AUD","true","01t1N00000EURL4QAP","5.6"
"a051N000041nhkpQAA","false","COST-000097","AUD","true","01t1N00000EURM5QAP","191.1"
"a051N000041nhkqQAA","false","COST-000098","AUD","true","01t1N00000EURL0QAP","353.5"
"a051N000041nhkrQAA","false","COST-000099","AUD","true","01t1N00000EURM6QAP","60.2"
"a051N000041nhksQAA","false","COST-000100","AUD","true","01t1N00000EURM7QAP","0.0"
"a051N000041nhkSQAQ","false","COST-000074","AUD","true","01t1N00000EURLXQA5","377.3"
"a051N000041nhktQAA","false","COST-000101","AUD","true","01t1N00000EURM8QAP","0.0"
"a051N000041nhkTQAQ","false","COST-000075","AUD","true","01t1N00000EURLuQAP","371.4"
"a051N000041nhkuQAA","false","COST-000102","AUD","true","01t1N00000EURM9QAP","0.0"
"a051N000041nhkUQAQ","false","COST-000076","AUD","true","01t1N00000EURLvQAP","616.8"
"a051N000041nhkvQAA","false","COST-000103","AUD","true","01t1N00000EURLiQAP","212.4"
"a051N000041nhkVQAQ","false","COST-000077","AUD","true","01t1N00000EURLwQAP","281.4"
"a051N000041nhkwQAA","false","COST-000104","AUD","true","01t1N00000EURMAQA5","326.4"
"a051N000041nhkWQAQ","false","COST-000078","AUD","true","01t1N00000EURLxQAP","536.0"
"a051N000041nhkxQAA","false","COST-000105","AUD","true","01t1N00000EURKsQAP","537.6"
"a051N000041nhkXQAQ","false","COST-000079","AUD","true","01t1N00000EURLyQAP","339.6"
"a051N000041nhkyQAA","false","COST-000106","AUD","true","01t1N00000EURLJQA5","805.0"
"a051N000041nhkYQAQ","false","COST-000080","AUD","true","01t1N00000EURLzQAP","420.7"
"a051N000041nhkzQAA","false","COST-000107","AUD","true","01t1N00000EURLVQA5","1193.6"
"a051N000041nhkZQAQ","false","COST-000081","AUD","true","01t1N00000EURLWQA5","674.1"
"a051N000041nhl0QAA","false","COST-000108","AUD","true","01t1N00000EURMBQA5","355.8"
"a051N000041nhl1QAA","false","COST-000109","AUD","true","01t1N00000EURKtQAP","646.2"
