"Id","OwnerId","IsDeleted","Name","CurrencyIsoCode","CreatedDate","CreatedById","SBQQ__CostEditable__c","SBQQ__DefaultQuantity__c","SBQQ__DiscountSchedule__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__PriceBook__c","SBQQ__PriceEditable__c","SBQQ__Product__c","SBQQ__QuantityEditable__c","SBQQ__QuantityScale__c","SBQQ__Taxable__c","SBQQ__TermDiscountSchedule__c","SBQQ__Type__c","SBQQ__UnitPrice__c"
"a0A1N00001JMRmaUAH","0051N000006oaopQAA","false","Yearly Price Dimensions","GBP","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLmQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmbUAH","0051N000006oaopQAA","false","Yearly Price Dimension","AUD","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLoQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmcUAH","0051N000006oaopQAA","false","Yearly Price Dimension","CAD","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLoQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmdUAH","0051N000006oaopQAA","false","Yearly Price Dimension","GBP","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLoQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmEUAX","0051N000006oaopQAA","false","Yearly Price Dimension","USD","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLsQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmFUAX","0051N000006oaopQAA","false","Yearly Price Dimensions","USD","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURLmQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmGUAX","0051N000006oaopQAA","false","Yearly Price Dimension","USD","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMIQA5","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmHUAX","0051N000006oaopQAA","false","Yearly Price Dimension","USD","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMdQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmIUAX","0051N000006oaopQAA","false","Yearly Price Dimension","USD","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMeQAP","Inherit",,"Inherit",,"Year",
"a0A1N00001JMRmJUAX","0051N000006oaopQAA","false","Monthly Price Dimension","USD","2018-12-12T04:45:58.000Z","0051N000006oaopQAA","Inherit",,,"Inherit","Inherit",,"Inherit","01t1N00000EURMGQA5","Inherit",,"Inherit",,"Month",
