"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__Rule__c","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Type__c","SBQQ__ValueField__c","SBQQ__ValueObject__c","SBQQ__ValueAttribute__c","SBQQ__ParentRuleIsActive__c"
"a0Z1N00000Eo4acUAB","false","PA-0000008","USD","a0c1N00000MVcZYQA1",,,,"01t1N00000EURL8QAP","false","Show",,,,"true"
"a0Z1N00000Eo4adUAB","false","PA-0000009","USD","a0c1N00000MVcZYQA1",,,,"01t1N00000EURL9QAP","false","Show",,,,"true"
"a0Z1N00000Eo4aeUAB","false","PA-0000010","USD","a0c1N00000MVcZZQA1",,,,"01t1N00000EURL8QAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4afUAB","false","PA-0000011","USD","a0c1N00000MVcZZQA1",,,,"01t1N00000EURL9QAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4agUAB","false","PA-0000012","USD","a0c1N00000MVcZaQAL",,,,"01t1N00000EURLFQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4ahUAB","false","PA-0000013","USD","a0c1N00000MVcZaQAL",,,,"01t1N00000EURLhQAP","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4aiUAB","false","PA-0000014","USD","a0c1N00000MVcZbQAL",,,,"01t1N00000EURLFQA5","false","Show",,,,"true"
"a0Z1N00000Eo4ajUAB","false","PA-0000015","USD","a0c1N00000MVcZbQAL",,,,"01t1N00000EURLhQAP","false","Show",,,,"true"
"a0Z1N00000Eo4akUAB","false","PA-0000016","USD","a0c1N00000MVcZcQAL",,,,"01t1N00000EURLYQA5","false","Show",,,,"true"
"a0Z1N00000Eo4alUAB","false","PA-0000017","USD","a0c1N00000MVcZcQAL",,,,"01t1N00000EURLZQA5","false","Show",,,,"true"
"a0Z1N00000Eo4amUAB","false","PA-0000018","USD","a0c1N00000MVcZdQAL",,,,"01t1N00000EURLYQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4anUAB","false","PA-0000019","USD","a0c1N00000MVcZdQAL",,,,"01t1N00000EURLZQA5","false","Hide & Remove",,,,"true"
"a0Z1N00000Eo4aoUAB","false","PA-0000020","USD","a0c1N00000MVcZeQAL",,,,"01t1N00000EURLVQA5","false","Add",,,,"true"
